Date,T-bill(cont.comp),Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
1974-04-28,0.007949,-0.079021,0.006877,-0.05214,0.071358,-0.070347,-0.012108,0.072561,-0.046366,-0.024642
1974-05-28,0.007235,-0.084583,0.028744,-0.051287,-0.068681,-0.127293,-0.138128,-0.108877,-0.038158,-0.047526
1974-06-28,0.006892,-0.041313,-0.042211,-0.08508,-0.042037,-0.113488,0.023264,-0.102041,-0.023668,-0.038353
1974-07-28,0.006756,0.009604,-0.106234,0.029692,-0.027002,-0.000746,0.029568,-0.070477,-0.08615,-0.066001
1974-08-28,0.00594,-0.104048,-0.116074,-0.127802,-0.027708,-0.145489,-0.129287,-0.151781,-0.096488,-0.102459
1974-09-28,0.007997,-0.109794,0.002792,-0.162351,-0.052545,-0.080564,-0.099301,-0.125263,-0.124233,-0.101292
1974-10-28,0.005254,0.104314,-0.088646,0.081546,0.053118,0.006692,0.083224,0.031823,0.171176,0.090442
1974-11-28,0.005139,-0.091086,0.098558,0.027876,0.0902,0.050472,0.012437,-0.158348,-0.051447,-0.02077
1974-12-28,0.007009,-0.000216,-0.047696,0.055644,0.033189,-0.107352,-0.001867,0.0159,-0.027997,-0.023642
1975-01-28,0.005387,0.150409,0.044961,0.261344,0.12377,0.094614,0.239311,0.555053,0.123435,0.140422
1975-02-28,0.004326,0.022997,0.141448,0.019055,0.13111,0.097263,0.057772,0.262406,0.057711,0.083982
1975-03-28,0.004014,-0.032479,0.020841,0.071637,-0.016338,-0.030773,-0.027513,-0.087174,0.019683,0.003305
1975-04-28,0.004489,0.010612,-0.001968,0.087182,0.013711,-0.009305,0.046206,0.150289,0.039914,0.03692
1975-05-28,0.004869,0.016124,-0.009839,-0.029044,-0.063791,-0.027875,-0.017373,0.02836,0.040147,0.018769
1975-06-28,0.004133,0.020962,0.006896,-0.065996,-5.6e-05,-0.120703,-0.009939,-0.160371,0.043308,0.008462
1975-07-28,0.004811,-0.013046,-0.055832,0.001822,-0.010584,-0.126737,-0.058955,-0.050385,-0.072415,-0.060075
1975-08-28,0.004815,-0.013469,-0.049244,-0.008909,-0.054344,-0.008626,-0.050676,0.125001,-0.027355,-0.020314
1975-09-28,0.005575,-0.054403,-0.068886,-0.082403,-0.049641,-0.059817,-0.081617,-0.019388,-0.041206,-0.047522
1975-10-28,0.005185,-0.048525,0.10248,0.068658,0.122518,0.03348,0.144872,0.053188,0.0629,0.063687
1975-11-28,0.004127,0.076488,0.004358,0.039854,0.020051,0.032573,0.0446,-0.022641,0.025483,0.023211
1975-12-28,0.004983,-0.039169,0.006205,-0.01573,0.007478,-0.004314,0.039799,0.042115,-0.015533,-0.004138
1976-01-28,0.004402,0.104218,0.057078,0.012492,0.018115,-0.030799,0.033966,0.09364,0.111663,0.084946
1976-02-28,0.003452,0.050703,0.003483,0.043598,0.013429,-0.005846,-0.008892,-0.036094,-0.014314,-0.010856
1976-03-28,0.004344,-0.016896,-0.004778,-0.0752,0.034878,-0.189349,-0.000413,-0.064518,0.030046,0.007439
1976-04-28,0.00444,0.013323,0.00194,-0.051873,-0.064193,-0.105145,-0.012873,-0.004087,-0.015461,-0.011739
1976-05-28,0.004124,0.002797,0.001338,-0.016233,-0.034479,0.068301,0.00432,-0.108661,-0.015407,-0.020794
1976-06-28,0.004446,-0.010429,0.045488,-0.028603,0.011551,0.06519,0.01545,-0.003351,0.039434,0.026317
1976-07-28,0.00439,-0.018253,-0.023021,-0.086084,-0.013093,0.036385,-0.004493,-0.037087,-0.010346,-0.013755
1976-08-28,0.004745,-0.013367,0.030224,-0.007968,-0.002476,-0.039583,-0.005383,-0.054394,-0.006191,-0.007028
1976-09-28,0.003924,-0.015743,0.001374,-0.067176,0.043775,-0.084325,-0.010597,-0.118339,0.020928,0.004466
1976-10-28,0.004092,-0.040147,-0.056547,-0.076274,-0.065485,-0.136072,-0.039313,-0.135568,-0.023237,-0.039088
1976-11-28,0.00444,-0.129145,-0.015624,-0.038613,0.049526,0.064684,0.005037,0.098682,-0.009076,-0.008376
1976-12-28,0.003579,0.135125,0.148679,0.123617,0.022552,0.034214,0.06587,0.220595,0.04905,0.071617
1977-01-28,0.003594,-0.032891,-0.033543,-0.022656,-0.021348,-0.069993,-0.015005,0.091716,-0.052707,-0.037169
1977-02-28,0.003499,-0.011487,0.047711,-0.047614,-0.018952,-0.020336,-0.028544,0.020196,-0.024304,-0.007894
1977-03-28,0.003769,0.00412,-0.013494,-0.104732,0.029814,-0.020442,0.005993,0.029069,-0.015681,-0.010027
1977-04-28,0.004114,-0.026521,0.014276,-0.023521,0.080899,-0.047588,0.00759,0.029901,-0.001431,0.006808
1977-05-28,0.003855,-0.021739,-0.01019,0.049149,-0.024562,-0.052829,-0.035261,0.021456,-0.02305,-0.017445
1977-06-28,0.003716,0.0384,0.035695,0.067271,-0.023065,0.049317,0.026318,0.027167,0.044442,0.033923
1977-07-28,0.003873,-0.007548,-0.015836,-0.027155,0.029933,-0.07835,0.018583,-0.019428,-0.016708,-0.017287
1977-08-28,0.004993,-0.046451,0.047788,0.069928,0.000676,0.17939,0.032667,0.113843,-0.024198,-0.001311
1977-09-28,0.00433,0.000713,0.009833,0.057078,0.01454,-0.041889,0.058818,0.079226,-0.004248,0.008115
1977-10-28,0.004943,-0.07306,0.014559,0.042103,0.049718,-0.068011,0.032695,0.011623,-0.046859,-0.022038
1977-11-28,0.004959,0.053653,-0.002178,-0.049132,0.014742,-0.057478,0.029707,-0.057695,0.020504,0.007559
1977-12-28,0.0047,0.054476,0.002359,-0.003036,0.044689,-0.012582,0.067202,0.061698,0.000582,0.015129
1978-01-28,0.005374,-0.078041,0.036678,-0.065379,0.007028,0.061736,0.050384,-0.032351,-0.064185,-0.034807
1978-02-28,0.004941,-0.007245,0.03292,0.015471,0.035072,0.063077,0.015611,-0.059478,-0.027859,-0.01264
1978-03-28,0.005017,0.040103,0.124327,0.258476,-0.001443,0.048496,-0.014979,0.0214,0.018717,0.040205
1978-04-28,0.005712,0.01302,-0.012127,0.044923,-0.057237,-0.009881,-0.08264,-0.008134,0.088212,0.039158
1978-05-28,0.005317,0.051338,0.003809,0.050962,0.001128,0.051022,0.028993,0.036185,-0.001827,0.007208
1978-06-28,0.005369,-0.011327,0.088503,-0.015566,0.023425,-0.049655,0.030166,-0.017177,-0.021803,0.004517
1978-07-28,0.005591,0.050248,0.09859,0.142811,0.048353,0.015127,0.052171,0.097437,0.054335,0.066456
1978-08-28,0.00555,0.014227,-0.020531,-0.029753,0.037971,0.078734,0.056993,0.021701,0.0202,0.01735
1978-09-28,0.005964,0.029414,0.016079,0.145607,0.050079,0.241504,0.018666,0.006974,-0.010914,0.005509
1978-10-28,0.007498,-0.052895,0.070038,0.023955,0.093388,-0.040766,0.012926,0.019724,-0.093269,-0.027014
1978-11-28,0.007041,0.050899,-0.099339,-0.118868,-0.121938,-0.119436,-0.120071,-0.055114,0.012358,-0.042465
1978-12-28,0.007372,0.020861,0.041197,0.077598,0.050284,0.005165,0.089838,0.024357,0.009783,0.02517
1979-01-28,0.007882,0.015386,-0.011381,-0.036117,-0.023926,0.030185,0.055466,-0.014114,0.036846,0.017635
1979-02-28,0.007324,0.016414,-0.045899,-0.081967,-0.029423,0.050972,-0.010925,0.078661,-0.042838,-0.026572
1979-03-28,0.008928,0.091991,-0.044603,0.057624,-0.030567,0.003853,-1.5e-05,0.142439,0.046856,0.032866
1979-04-28,0.008489,0.019127,-0.039589,0.039138,-0.025807,-0.067899,-0.019018,0.040355,-0.009516,-0.010053
1979-05-28,0.008161,0.01829,0.006923,-0.072623,-0.059512,0.039655,-0.049848,-0.078561,-0.028594,-0.025578
1979-06-28,0.007858,0.061697,-0.001335,0.14277,-0.0003,-0.001794,0.031394,-0.003265,0.029455,0.02093
1979-07-28,0.00841,-0.055713,-0.011394,-0.007772,0.035527,0.051976,-0.000602,0.000198,0.001498,-0.001012
1979-08-28,0.007506,0.094194,-0.003836,0.066627,0.01241,0.08038,0.018896,0.017362,0.040818,0.032521
1979-09-28,0.007732,0.057097,0.011164,0.149986,0.042279,0.032142,0.076276,0.010433,-0.010533,0.01461
1979-10-28,0.009621,-0.112637,-0.087262,-0.126704,-0.092945,-0.106259,-0.103663,-0.113549,-0.074973,-0.084157
1979-11-28,0.009878,0.079094,-0.050075,0.063899,0.044126,-0.029669,0.016907,0.033594,0.030186,0.020686
1979-12-28,0.010209,0.054534,0.052785,-0.015092,-0.015147,-0.01665,0.00109,-0.011857,0.004697,0.016327
1980-01-28,0.007968,0.138154,0.011797,0.06285,-0.014435,0.083059,-0.004412,0.098743,0.05093,0.052093
1980-02-28,0.010654,0.122632,-0.049814,-0.020587,-0.005824,0.008588,-0.076564,0.046649,-0.022125,-0.010342
1980-03-28,0.012009,-0.232455,-0.040303,-0.172865,-0.166845,-0.113861,-0.170661,-0.144994,-0.101878,-0.119798
1980-04-28,0.012865,0.021029,0.068412,0.095041,0.102031,0.084877,0.129757,0.067407,0.028971,0.052375
1980-05-28,0.007883,0.07884,0.051439,0.057009,0.028149,0.025814,-0.00145,0.000671,0.038754,0.041173
1980-06-28,0.006312,0.066353,0.032499,0.005515,0.032849,0.027989,0.055316,0.119542,0.024696,0.041436
1980-07-28,0.005281,0.035646,-0.055114,-0.047945,0.001127,0.09931,-0.00231,0.023706,0.059702,0.025263
1980-08-28,0.005973,0.010461,0.060302,0.016366,-0.030239,0.090575,0.000281,0.017671,-0.00041,0.013383
1980-09-28,0.008698,-0.015013,0.056889,-0.011879,-0.017563,0.107991,-0.012341,0.019404,0.015134,0.021138
1980-10-28,0.008912,-0.03827,0.015172,0.020919,-0.082435,0.203513,-0.036255,0.077934,0.015005,0.020022
1980-11-28,0.008912,0.031097,-0.041217,-0.029497,-0.003241,-0.076856,-0.026301,-0.027905,0.094084,0.032714
1980-12-28,0.014149,-0.07228,0.055736,-0.089645,-0.056383,-0.014474,-0.023249,-0.059936,-0.050189,-0.036222
1981-01-28,0.009957,-0.019177,0.009543,-0.122726,-0.101537,0.143064,-0.117766,-0.016543,-0.048351,-0.039251
